,Users,Comments
3437,KatesMcGee,@Gamblest I have to work  but maybe I can come hang out after work depending on when I get out!
3438,DervlaDx,I need to get the sims 3.. Every ones got it 
3439,Spencerr9,baseball game today.... 
3440,Greg_McGrue,yay. today i get 2 spend the day with the athletic director 
3441,Dancegurl91,"@xoxojanine By the time we found the shopping mall, it was already 10.20 pm~!!! The mall was already long closed... "
3442,mikeypayload,can't find any of Patrick Star's swim trunks to purchase online anywhere 
3443,heavyheartthat,I'm giving in and taking my contacts out  Darn contacts!
3444,gadawg34,Well this sucks it's raining at Disney! 
3445,j_peg,"@tienmobile heard about Jorge, he was so nice "
3446,IAmTwilighter,just posted chapter 4 of my 'seth hearts angela' fanfiction. jeez i really need a better name.. but i cant think of anything 
3447,k8greene,Didn't know there was 2 versions of Hush Hush. Brought the wrong version 
3448,Katiieebabee,has been shoppin ... mouth really aches still 
3449,DannyCabb,I was wrong      Ziggy Marley + 311 = SUPER SWEET
3450,kkkarli,"@hemisofia  I don't! ( I'm pretty new to everything, including arashi. but I learn fast! :p"
3451,BethanyMcFlyX,@JessMcFlyxxx haha you ok? my tv has gone bloody gay  boo sucks xx
3452,callalala,So bored at work! Only been here thirty minutes 
3453,adrienneis,Looking at homes is not fun to me...  need more sleep.
3454,KirbyEatsNeko,My co-worker made me lunch and it taste kinda nasty! I feel so bad!  and shes like every1 loves my cooking :/ &lt;Optimistic*Fool&gt;
3455,niyabon,in another conference call 
3456,itsGAAABZ,@henzelhmmm i hella wanted to but i have school!  r u going??
3457,madhouse6,have to work this weekend (&amp; after a very late night last eve) dragging today. big Bday dinner at fogo tonight too. not enough matt time 
3458,vFreeBird,"@PeteyBennett I aint giving up, i tell you that. xD Totally messed up BB if this carries on. "
3459,Miaxxx,is lonley cuz no1 is home lol omg i wish the rain would stop me nd bonn can go out 
3460,AshFoo,Forgot my phone. Sad times 
3461,luannaan,"@gfalcone601 aaaw, I need a Bucks so bad! Why don't we have many here in Brazil?  haha Love you, dudette Xxx"
3462,clarissabby,Ugh. I miss my Derrick 
3463,OliviaSandra,"finally we finished make up this room, pretty clean here now,  @nadtriadina just  did a little part  to cleaned it "
3464,sadukie,@benjaminws Oh my!    Hoping surgery goes well!  Good to hear baby-in-the-oven is fine.
3465,tooperky,@Paleo_princess that looks wicked! Did it stay crunchy? Mine always went to mush 
3466,chloerose08,rainy day  hmm what to do.
3467,froggiez1,"Not Feeling Good, Didnt Sleep Very Good Lastnight, &amp; Im Sad  Ugh Will This Day Get Any Worse???"
3468,damoncampbell,@hot2definc phone was stolen bro....  campbell.relations@gmail.com
3469,iMrNiceGuy0023,@FrankieNichelle so you dont like my nudges then?? 
3470,jimmygarciaz,so lazy ... i ust make homeworks ... 
3471,reberp,No more California.   Back in  arkansas.
3472,emdawg212,@mytoecold I miss The Amanda Show 
3473,KimMarlatt,that was a pretty awful nap....but i just don't think i can attempt to sleep anymore 
3474,epicprolepsis,"my fish are like a job, it doesn't help that there has been something constantly wrong since day 1. smh. today's problem: DISEASE "
3475,andrearie,:'( jeez i shoulda just gone to work.... i stayed home to hang out with my dude n he's bein a jerkoff!!! i'm missin gettin paid for this. 
3476,colingalbraith,@bubble_gum_xox Leith  LOL!
3477,iamfrangipan,Grey day dismay. 
3478,webwoke,auch... drop by 1  109. disqus.com
3479,f33dyourlungs_,"@davashmava: I'd tell you, but then I'd have to kill you &gt;;) buuuut, I'll tell you in person, you'll laugh at me "
3480,jap510,"@CAS_Orientation No worries! I had to go to work at noon, though. I meant to stop by again yesterday, but I have a bad ear infection. "
3481,lady_wth,can't sleep anymore 
3482,stephleooo,Stupid @westzhang's comp don't lemme update properly. 
3483,paaaulaaac,@larindavictoria ME TOO i don't want it to be over 
3484,Chriss_S,Firstt Commmentt! imm boreeddd 
3485,youareajewel,@missnaomijane i haven't got pics!! couldn't open the yousendit luke sent me. 
3486,orlyrodriguez,@jacqui_ i hope we dont see ur cousin in law eric when ur in austin.  He aint invited to any of the festivities.  Not even 6 flags 
3487,xOtHbAbI12x,I'm home from the dentist now. Ughh my mouth is numb! 
3488,Kendallope,Ugh could be a long day... too much wine last night 
3489,kidintraffic,I think I need a nap.  I'm starting to get a headache!   #lame
3490,sunnymchao,@MelFresh27 Ur are the best yo. She &amp; I also share 1 male tweetmat. She likes him I think. He' never on her #ff. Just me. Competition!! 
3491,MrsPrepjerks,My hubby @PrepJerks is leaving me 4 a month 4 Army duty... Imma miss him 
3492,anidontknowgirl,I hate the &quot;your mum/mom is so fat&quot; jokes! 
3493,MollyFelicityy,@maryviolet  Gutted...No cool hair  Glad you had a nice morning time but sorry to hear about what you text me.&quot;I'M HERE FOR YOU BABE&quot;
3494,NKANGEL74,@LadyGiiGii no not for this show 
3495,kkricketts,i really want a blackberry. but i guess i have to wait till november since SPRINT SUCKS 
3496,jrapugh,@suzyv Sorry to see you'll not be at Glastonbury this year  It's the highlight of my festival when you're in that blue tent. Keep well x
3497,thecashqueen,"just got back from town, my feet hurt &amp; i'm tired  xxx"
3498,TeshaTodd,ok so i need to start researching New York on a large scale. first thing accomodation OMFG! WHERE AM I GOING TO LIVE?? NOT DORM. 
3499,emmac45,howdy every one i luv ya Im really bored and my phone won't ring 
3500,Nate_theproxy,Flying back to NY 
3501,KDonohoe,"headning back down to norwich tomorrow,   cant wait, but 8 and a half hours travel "
3502,flyingspatula,"I like Seesmic desktop, but it's installed on a work comp - when i connect to the work network, seesmic works.  At home, it doesn't. "
3503,zoeydawson,@bimbola16 still tho it looks stupid. And my poor mom thinks that short hair looks good on her and so her face always looks fat 
3504,LJforever,Im really annoyed 
3505,nathanryder,@thespyglass @CyranDorman &lt;Nathan&gt; = &lt;feels very unattractive&gt;; Will see you laters 
3506,GourleyGirl,Jens was awesome and oh so cute. But the night truely ended badly. Feel like hiding today. 
3507,trmorgan,I'm confused as to what to do with twitter haha 
3508,fjkeogh,@Winstonita HI Yes we're fine thanks bit of a washout today  you enjoy your hols ?
3509,VanitySnob,@beautythesis I like your blog alot..I cant wait to have my site up. 
3510,lexi_diaz,Sometimes I wonder if everything changed...     I'm just missing u...that really sucks 
3511,ox_Ginge_xo,has nothingggg to dooo! wishh i could be with the Ruptorss  and theyy didnt even bother to tell me of the BBQ! :O ruuuuuuude!  neverMind
3512,sharlynnx,"@tommcfly I already give you 6 tweets, but i don't get a reply  Do you wanna play Edward Cullen in the next movie? Xx"
3513,sugarplumbfairy,got a boilogy gcse on the 22nd im in year 9 im not ment to do them yet its not fair 
3514,xxASHLEYY,@kshadows99 I want M&amp;Ms  I want food.
3515,MiLoveIsTrue,"its not pretty good outside todayy! I think its gonna rain, boo hoo!  Feel more like chillin with movies then doin a photoshoot!"
3516,darkannie,I'm excited because my little herb plants have sprouted... all but one.    The one that I dropped.
3517,emboosh,"@DisGraceMcR  the theory, we didnt do ANY of the shit the crazy lady asked me. "
3518,grimnorth,Damn... broke the spanner trying to get the bike wheel off. 
3519,anaracecar,@johnsomers  I don't see what the hype is.
3520,suzanella,"summer/late spring, where are you?  15 Ã‚Â°C, cloudy and windy."
3521,ShellShocked_,@MissDean girl we're stuck inside! Its raining!!! 
3522,Chibirinoa,my poor puppy has a fractured scapula! He can't do much of anything for 8 weeks  Terrible!
3523,Peter_Nicholls,"@producerneil hey mister neil, our FM RSL is over and i dunno wot to do with me self now.... "
3524,Peter_inc,homework 
3525,princessapril02,morning(to me) tweet world. couldn't sleep last night...so I'm laggin today. 
3526,williger,@PJMcGuire I do love the phone - I don't have Twitter on it yet 
3527,Celystoire,"I was so tired. I really need to have better sleep patterns. As a result, I've just woken up from a 3h-nap  I feel better but still..."
3528,frescova,"Must seek rides with at least a thrill factor of 3 - Ari actually wants to go in the upside down one, but she's not tall enough yet  #fb"
3529,Watchmeboy,"have no power for work out today     ,tomorrow I must work-stand up at 5.20a.m and than 24 hours but its a good Job "
3530,_NiiGGyy_,I Hate Feeliin Like Spanked Monkey's Ass 
3531,denisermt,@tedrubin That is so terrible. 
3532,soey101,Tweet tweet. Bored right now 
3533,jbells2493,I have ao much to do and go today... Its not even funny 
3534,est_1984,is seriously tired of writing papers: should of held off going back to school 
3535,Gilgamesh247,@chariito_arg I miss u Hun bun 
3536,designrelated,"@litherland SVA posted su courses, incl. &quot;Elements of Communication Design&quot; w by Nicholas Felton http://tinyurl.com/qybyvm so much $$ "
3537,mjclevett,@Ciara_SMM Sims 3 isnt really that much better. Its just good.  My copy still hasnt come though  and i ordered it like 2 months ago!
3538,lovexmeghan,I left my window open last night now my room is freezing! I'm not a happy camper 
3539,cmurray11,@cassedy04 &quot;he's soooooooooo gorgeous&quot;    heathy
3540,djlissamonet,@Kizzmo - it was yesterday 
3541,brendafreitas,@tommcfly i wonder where is harry. he didnt tweet while in brazil 
3542,KelleeLaura,I wish it would stop raining 
3543,angelinie516,@rachBAM haha yeah it has that effect on ppl. I'm sorry I couldn't go today I really was going to I had a bag ready and everything 
3544,alicewarren,wants sims 3  howwwwwwwwwwwwww
3545,kaatybird,@duckduckjem why darling? ive been a little busy lately  we basically had to renovate the damn house for marys grad party...
3546,planetlebanon,"How does the Christian vote work? If you hate Sunnis more than Shias, vote Aoun, if you hate Shias from that Sunnis, vote March 14. Sad "
3547,mustbetuesday,"How come other people can eat a whole package of onion rings just fine, but I wake up with tummy aches if I have just a few? No fair. "
3548,HollywoodSin,@yoursparrow I made a picture of Welcome to the Dollhouse once. But I dont think I looked good. 
3549,sportssavvy,Is wondering how much longer David Ortiz will be with the Red Sox..Think his time is up. 
3550,I_Am_Ahab,I never got a volcano burrito last night  FML
3551,stephietx,"My tummy hurts  I hate having a vagina, i wanna rip it off HAHA [cramps] :[[[[["
3552,kryslia,shiok! but i'm hungry now  tired too!
3553,overhope,"@emmettcullen07 aww, but i wanna know  hmph."
3554,pinkpantherx911,@TiiTiiRawr AWWWWWWWWWWWWWWWWW    that sucks. so no boyfriend guy? COME ON.
3555,mirandaonabox,no pool party for me 
3556,ToshaRenelle,@lpstkone I know it feels like I never update anymore  Immq do better LOL!
3557,edgeyx,Just got back from karate turns out ime not going to see star treck today 
3558,risinwonderland,"last.fm charging people outside the US, UK for radio  tempted, its the largest library out there! 5AUD p/mo isn't that bad either. hmm."
3559,Chulombian,"@digsby Great, I can only send but not receive "
3560,joooline,@chrisendencia ME TOO 
3561,nerdsarerad,i want to get the sims 3 but i don't have enough money saved up 
3562,ngoudeyrigger,is waiting for her second set of keys.  Gotta love Toyota's 'smart key' system. 
3563,Marwaaa,my neighbors are so loud but i'm a scaredeycat so am not gonna knock on their door and complain.  
3564,wdbrady,T-Ball season is over.  Liam made us proud today!
3565,aninhalittle,"@tommcfly that jealous of you Tom, I love coffee, but I can not take,me cause  pain of my belly, is horrible "
3566,sarahjph,Ahhhh its so annoying how you ahve to actually press update and can't just hit enter 
3567,StevenLangston,I alway wake up short of breath and with a mega fast heart beat. 
3568,rebekahgenice8,Im planning on entering a pagaent but i dont know what my talent is 
3569,batistainthebox,SLOWEST DAY EVER. Starving. No food 
3570,Mylan2424,I am at school studying like a good kid. But I forgot my iPod headphones 
3571,philpow,@quirkygeek after killing some people there is nothing else to do 
3572,daniellefred,my head hurts 
3573,WallyByrne,"Bohs lost again to pats,not worried bout this season but next we could be bankrupt "
3574,Mel_On21,no more Cre8  I'm not enjoying having the effects of being ill after not drinking last night..
3575,nicniclee,@tricialing I TOTALLY AGREE TO THE BACK PAIN! damn it hurts 
3576,gidd1985,Work Tonight.... Missing The Wings Fuck 
3577,stevemursell, @StephenHDunn bows out of the Raid. &quot;Dunn&quot; his back Inn. Speedy recovery mate.
3578,shotputbarbie,i hurt my lip really bad. 
3579,seddiefan101,thats the way i loved u 
3580,mattkay,@SoundyC t'es pas vu au weeta hier ...  trop crevÃƒÂ© ?
3581,justcuz1,ah! robots on my profile! 
3582,HullMitch,@jimmykdoyle I called you yesterday but you didn't answer  give me a call when you can!
3583,peanutbanana,Has anyone seen Fast Food Nation? I have had nightmares last night after watching it 
3584,lindzsaez,both of my annual summer cookouts were cancelled this year  i'm already tired of summer.
